"Totala utsläpp av växthusgaser efter växthusgas, sektor och år"

"växthusgas","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Koldioxid (CO2) (kt)","JORDBRUK, TOTALT",177.8,140.5,112.9,134.4,161.2,172.9,197.3,178.4,133.8,160.3,159.7,140.0,133.3,129.9,123.2,116.5,89.6,115.6,104.6,114.5,123.8,123.9,142.1,142.6,123.3,124.5,128.1,127.5,128.5,122.8,122.6
"Koldioxid (CO2) (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",393.0,331.2,294.9,307.3,257.0,284.9,269.0,309.6,300.8,367.9,381.3,404.3,400.1,388.4,462.7,452.6,425.5,450.1,476.2,414.2,441.7,417.4,488.1,495.1,483.0,439.7,449.7,447.0,411.6,372.4,370.1
"Koldioxid (CO2) (kt)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",9051.5,8851.0,8098.3,8061.8,8066.4,7677.6,7741.5,6949.8,6840.7,6384.6,6265.5,5455.7,4918.6,4611.0,4320.2,3153.9,2551.0,2323.0,1748.4,1496.1,1669.4,1299.4,1138.9,1018.2,958.6,886.8,824.3,780.7,694.0,682.6,573.4
"Koldioxid (CO2) (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-38261.0,-37714.1,-37006.1,-33138.9,-35301.9,-38146.1,-40139.6,-41218.0,-42219.0,-41920.8,-43442.6,-44297.6,-43637.3,-40225.9,-33945.2,-33710.2,-43068.2,-36985.5,-42811.4,-42839.1,-44692.3,-44608.1,-45001.9,-42862.1,-42731.2,-40059.2,-40487.4,-36411.8,-36279.5,-38456.1,-41475.7
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,8.3,8.9,4.7,3.6,5.6,8.6,15.9,16.9,50.6,85.0,103.6,126.2,129.9,158.8,222.0,292.2,426.1,538.5,726.8,830.2,896.5,900.2,970.7
"Biogen koldioxid (CO2) från bränslen (kt)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,46.0,46.2,43.3,48.0,50.1,52.5,51.8,55.9,35.9,33.7,33.3,32.0,25.1,25.1,25.5,24.3,23.2
"Biogen koldioxid (CO2) från bränslen (kt)","EL OCH FJÄRRVÄRME, TOTALT",2158.2,2565.7,2547.5,3709.2,4652.8,5693.5,7907.3,6718.3,7102.0,7654.7,7421.9,8832.9,9769.1,10688.7,10249.5,11637.0,12103.8,12337.7,13592.4,14607.2,16489.9,14551.4,15025.0,15403.9,14200.2,14414.0,15359.0,15803.1,15709.0,15977.8,14547.1
"Biogen koldioxid (CO2) från bränslen (kt)","INDUSTRI, TOTALT",14693.9,16678.4,17409.6,17612.8,19010.4,18633.3,18173.5,19385.5,19488.4,18932.0,17561.8,19807.2,20036.8,18718.5,20237.4,19607.1,20946.6,21449.5,21128.9,20375.6,23006.4,20611.7,21002.6,21366.1,20967.6,21676.5,21824.1,22320.8,21963.6,22582.0,23438.6
"Biogen koldioxid (CO2) från bränslen (kt)","INRIKES TRANSPORTER, TOTALT",2.1,3.0,3.8,4.4,6.6,9.0,13.1,16.7,45.2,50.1,58.6,80.9,140.5,251.2,449.5,467.4,632.4,819.4,986.5,1031.1,1120.6,1314.2,1563.2,1815.4,2353.1,2814.8,3567.1,4038.5,4392.7,4162.0,4136.6
"Biogen koldioxid (CO2) från bränslen (kt)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",4173.6,4276.6,4324.5,4516.1,4291.7,4507.6,4582.5,4320.1,4002.6,3875.8,3957.0,3884.8,4119.0,4562.7,4484.2,4673.6,4418.7,4809.4,4900.2,5200.1,5149.1,5266.7,5158.7,4976.9,4695.4,4629.0,4805.0,4852.8,4263.7,4215.6,4230.2
"Biogen koldioxid (CO2) från bränslen (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",296592.6,296236.0,301311.9,300204.3,297590.5,294067.4,294535.6,291994.3,287811.5,280043.7,273454.6,270614.9,260538.0,251995.3,252790.3,245112.3,240368.3,229971.8,219017.5,213036.6,208479.7,202213.4,194983.4,191339.7,185436.1,180750.5,177644.6,176283.9,172833.3,167185.6,164407.9
